as_of,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612
7/1/2000,82.6681,138.128,195.695,13.15,1376.84,34.9411,40.0073,27.9193,62.55,42.5699,17.9703,49.2698
7/2/2000,82.6681,138.128,195.695,13.15,1376.84,34.9411,40.0073,27.9193,62.55,42.5699,17.9703,49.2698
7/3/2000,83.2759,139.764,196.733,13.32,1398.75,35.3022,40.3868,28.0427,62.6782,42.9992,18.2419,50.491
7/4/2000,83.2759,139.764,196.733,13.32,1398.75,35.3022,40.3868,28.0427,62.6782,42.9992,18.2419,50.491
7/5/2000,81.0182,136.491,194.138,13.13,1391.45,34.7418,40.0296,27.9193,61.1825,42.3305,18.1876,50.491
7/6/2000,82.6681,139.401,196.318,13.15,1398.75,35.0033,40.1189,28.1907,61.9517,42.6359,18.155,50.4528
7/7/2000,84.5785,141.947,198.498,13.21,1413.36,35.5388,40.4761,28.277,62.8491,43.2881,18.318,51.0635
7/8/2000,84.5785,141.947,198.498,13.21,1413.36,35.5388,40.4761,28.277,62.8491,43.2881,18.318,51.0635
7/9/2000,84.5785,141.947,198.498,13.21,1413.36,35.5388,40.4761,28.277,62.8491,43.2881,18.318,51.0635
7/10/2000,83.797,142.492,198.498,13.19,1417.01,35.4641,40.4314,28.018,62.55,43.189,18.3832,51.2161
7/11/2000,83.7101,141.219,198.913,13.32,1424.32,35.5886,40.4091,28.2153,62.4645,43.3459,18.5136,51.5596
7/12/2000,85.6205,144.311,200.159,13.27,1427.97,35.875,40.6324,28.2276,63.1483,43.7008,18.5027,51.6741
7/13/2000,86.4889,145.857,200.782,13.28,1431.62,35.9497,40.6993,28.0057,63.5899,43.7834,18.4918,51.7123
7/14/2000,88.0519,146.13,202.858,13.37,1442.58,36.2859,40.9896,28.1537,64.2309,44.1961,18.4918,51.9412
7/15/2000,88.0519,146.13,202.858,13.37,1442.58,36.2859,40.9896,28.1537,64.2309,44.1961,18.4918,51.9412
7/16/2000,88.0519,146.13,202.858,13.37,1442.58,36.2859,40.9896,28.1537,64.2309,44.1961,18.4918,51.9412
7/17/2000,88.9203,147.494,202.547,13.47,1431.62,36.2984,40.811,28.0057,64.4873,44.2126,18.4375,51.3688
7/18/2000,87.1836,144.675,201.405,13.34,1431.62,35.8999,40.4984,27.87,63.4189,43.7256,18.3615,51.0253
7/19/2000,85.7942,141.219,200.263,13.35,1427.97,35.6135,40.1635,27.796,62.6355,43.3789,18.3506,50.8345
7/20/2000,87.7914,143.765,202.028,13.42,1431.62,35.9372,40.2528,28.2153,63.6184,43.7751,18.2963,51.2924
7/21/2000,85.2732,141.31,198.913,13.37,1424.32,35.5637,40.1189,27.8947,63.0201,43.3211,18.2637,51.0253
7/22/2000,85.2732,141.31,198.913,13.37,1424.32,35.5637,40.1189,27.8947,63.0201,43.3211,18.2637,51.0253
7/23/2000,85.2732,141.31,198.913,13.37,1424.32,35.5637,40.1189,27.8947,63.0201,43.3211,18.2637,51.0253
7/24/2000,83.6233,138.128,197.667,13.24,1413.36,35.1901,39.8956,27.9687,62.2651,42.8671,18.1441,50.6818
7/25/2000,84.4048,138.582,198.602,13.19,1417.01,35.4267,40.0742,27.944,62.8776,43.156,18.2202,50.9871
7/26/2000,81.8866,136.855,196.006,13.18,1395.1,34.9037,39.8621,27.5371,62.3221,42.5204,18.0029,50.3383
7/27/2000,78.7605,132.763,195.487,13.28,1398.75,34.8414,39.5942,27.5247,61.6383,42.4378,18.1116,50.5292
7/28/2000,76.5027,128.398,192.477,13.2,1380.49,34.1317,39.2147,26.2792,59.7152,41.5793,17.9377,49.8041
7/29/2000,76.5027,128.398,192.477,13.2,1380.49,34.1317,39.2147,26.2792,59.7152,41.5793,17.9377,49.8041
7/30/2000,76.5027,128.398,192.477,13.2,1380.49,34.1317,39.2147,26.2792,59.7152,41.5793,17.9377,49.8041
7/31/2000,77.6316,130.58,193.93,13.21,1395.1,34.3932,39.4612,26.2176,60.4845,41.893,17.9594,50.1475
8/1/2000,77.1974,130.035,194.968,13.37,1409.71,34.5675,39.6405,26.6245,60.4275,42.1077,18.2093,50.72
8/2/2000,77.3711,130.307,195.072,13.47,1409.71,34.5799,39.7077,26.4519,60.0001,42.1324,18.318,50.9871
